ООО «УС БАЭС»;6639013357;Директор Пешнина Наталия Геннадьевна;624250, Свердловская область, г. Заречный, Промплощадка БАЭС-4;www.uestroy.ru;usbaes@rambler.ru;(34377) 38311, 38300
ООО «ЕСУ-2 «Уралсантехмонтаж»;6663067642;Директор Новоселов Сергей Георгиевич;620017, Свердловская область, г. Екатеринбург, ул. Электриков, 18Д;www.esu2.ru;esu2@bk.ru;(343) 3361623
ООО «Городское управление дорожно-строительных работ»;6672165205;Директор Истомин Владислав Викторович;620100, Свердловская область, г.Екатеринбург,тракт Сибирский, дом 34Б;;"gordorstroy@mail.ru; gigudsr@mail.ru";(343) 3856767
АО «Уралметаллургмонтаж 2»;6661001614;Генеральный  директор Поздняков Владимир Игоревич;город Екатеринбург;www.umm2.ru;office@umm2.ru;(343) 3764082, 3764092
ООО «Управляющая компания «Уралэнергострой»;6670026460;Генеральный директор Суруда Виктор Борисович;620062, Свердловская область, г.Екатеринбург, пр. Ленина, д. 97/а;www.uestroy.ru;info@uestroy.ru;(343) 3740710, 3756693, 3740236
ООО «Уралпроектсервис»;6659103457;Директор Харитонов Сергей Николаевич;620075, Свердловская область, г. Екатеринбург, ул. Мамина-Сибиряка, д. 52, оф. 402;www.ups2000.ru;"skups01@mail.ru; uralps@yandex.ru; 10568hsn@gmail.ru";(343) 2874436,3559436
ООО «Ремонтно-строительная компания «Тагилагрохим»;6623052745;Директор Панфилов Дмитрий Владимирович;622915, Свердловская область, Пригородный район, село Петрокаменское, ул. Кооперативная 24;;tagilagrohim@mail.ru;(3435) 930445, 497300
ООО «Энергоуралспецмонтаж»;6658462037;Директор Ситников Игорь Владиславович;620034, Свердловская область, г.Екатеринбург, ул.Контролеров, 15;;info@eusm.ru;(343) 2455936, 2454819, 2453900
ЗАО «Севертеплоизоляция»;6631005562;Генеральный директор Мартыновский Вячеслав Анатольевич;624480, Свердловская область, г.Североуральск, ул.Шлакоблочная, д.1г;;"seversti@mail.ru; suti@bk.ru; tatianam1@mail.ru";(34380) 21876, 43265
ЗАО «СМУ № 25 УМС»;6663071832;Директор Кореев Евгений Стефанович;620137, Свердловская область, г.Екатеринбург, ул.Боровая,29, офис 3;;smu25@e1.ru;(343) 2643838, 2643840
ООО «Электроуралналадка»;6662117700;Генеральный  директор Максимович Артем Павлович;РОССИЯ, Свердловская область, г. Екатеринбург;электроуралналадка.рф;"amaksemovich@gmail.com; eunpto@mail.ru; eun-info@mail.ru";(343) 3775069, 3775068
ООО «Производственное предприятие «Волкомпани»;6670396782;Генеральный директор Бессонов Дмитрий Эрикович;620072, Свердловская область, г.Екатеринбург, на территории Новосвердловской ТЭЦ;www.volco.ru;mail@volco.ru;(343) 2787887 доб.120
ООО «Электро Урал Спец Монтаж»;6658051492;Директор Чащин Андрей Игоревич;620034, Свердловская область, г.Екатеринбург, ул.Контролеров, 15;www.eusm.ru;"info@eusm.ru; sdo@eusm.ru";(343) 2453900, 2454819
НАО «СК-Вертикаль»;6661099818;Директор Бароха Дмитрий Александрович;620102, Свердловская область, г.Екатеринбург, ул.Ясная, дом 31 ,2 этаж, пом№39-42;www.verticalsk.ru;vertical66@mail.ru;(343) 2311404, 2191913
ООО «ДАТА-ЦЕНТР Автоматика»;6673171843;Генеральный  директор Усков Роман Юрьевич;620012, Свердловская область, г.Екатеринбург, Площадь 1-ой Пятилетки, литер ГГГГГГ, офис 201;www.dc.ru;common@dc.ru;(343) 2095152, 2451331, 2095152, 2047232
ООО «Научно-производственное предприятие Би-ТЭК»;6670015116;Генеральный  директор Кондрашкин Алексей Владимирович;620075, Свердловская область, г.Екатеринбург, ул.Шарташская, 19;www.bi-tec.ru;info@bi-tec.ru;(343) 3509545, 3509544
ООО «НТ ГОСТ»;6623124534;Генеральный  директор Гольцев Андрей Николаевич;622001, Свердловская область, г.Нижний Тагил, ул.Ломоносова, 9а- 11;;ntgost@inbox.ru;(3435) 416363
ООО «Трест «Уралмашстрой»;6673117807;Генеральный директор Малышкин Виктор Анатольевич;620098, Свердловская область, г.Екатеринбург, проспект Космонавтов,дом  45в, офис 4;;3002883@mail.ru;(343) 3002883
